,STATION,NumEs,UpTime,Lines
173297,MIDDLETOWN RD,,,
32118,MONTROSE AV,,,
32250,MORGAN AV,,,
171618,MORISN AV/SNDVW,,,
195232,MORRIS PARK,,,
162146,MOSHOLU PKWY,,,
160803,MT EDEN AV,,,
37435,MYRTLE AV,,,
90087,MYRTLE-WILLOUGH,,,
33012,MYRTLE-WYCKOFF,2,94.65,L/M
88921,NASSAU AV,,,
17831,NECK RD,,,
104343,NEPTUNE AV,,,
168865,NEREID AV,,,
187461,NEVINS ST,,,
34650,NEW LOTS,,,
192783,NEW LOTS AV,,,
25035,NEW UTRECHT AV,,,
118439,NEWARK BM BW,,,
119154,NEWARK C,,,
119862,NEWARK HM HE,,,
109792,NEWARK HW BMEBE,,,
194002,NEWKIRK AV,,,
15140,NEWKIRK PLAZA,,,
78414,NORTHERN BLVD,,,
72776,NORWOOD 205 ST,,,
38446,NORWOOD AV,1,97.81,D
62026,NOSTRAND AV,,,
19091,OCEAN PKWY,,,
109582,ORCHARD BEACH,,,
66081,OZONE PK LEFFRT,,,
13458,PARK PLACE,,,
172134,PARKCHESTER,1,89.76,6
14150,PARKSIDE AV,,,
85478,PARSONS BLVD,,,
120780,PATH NEW WTC,,,
120580,PATH WTC 2,,,
113636,PAVONIA/NEWPORT,,,
173801,PELHAM BAY PARK,2,54.27,6
167524,PELHAM PKWY,2,47.84,2/5
192443,PENNSYLVANIA AV,,,
193035,PRESIDENT ST,1,89.7,2/5
6187,PRINCE ST,,,
21727,PROSPECT AV,,,
13836,PROSPECT PARK,,,
76023,QUEENS PLAZA,,,
175900,QUEENSBORO PLZ,,,
63123,RALPH AV,,,
9935,RECTOR ST,,,
590860,RIT-MANHATTAN,,,
197374,RIT-ROOSEVELT,,,
63311,ROCKAWAY AV,,,
65246,ROCKAWAY BLVD,,,
68048,ROCKAWAY PARK B,,,
105272,ROOSEVELT ISLND,10,81.37,F
191813,SARATOGA AV,,,
40423,SENECA AVE,,,
18125,SHEEPSHEAD BAY,,,
64151,SHEPHERD AV,,,
165808,SIMPSON ST,,,
100083,SMITH-9 ST,6,80.57,F/G
122580,SOUTH FERRY,10,93.98,1/R/W
54677,SPRING ST,,,
171882,ST LAWRENCE AV,,,
195988,ST. GEORGE,,,
